,Address,latitude,longitude
328,"7259 Wardman Drive Austin, Texas",30.1548414,-97.6457623
329,"Cuernavaca Dr. & Tartar Way Austin, Texas",30.3403491,-97.86340170000001
330,"5608 Peppertree Pkwy Austin, Texas",30.1942214,-97.75289599999999
331,"3108 Windsor Road Austin, Texas",30.2965875,-97.7676557
332,"Ben White And Montopolis Austin, Texas",30.2119914,-97.7126316
333,"8401 Axis Drive Austin, Texas",30.2069136,-97.856452
334,"500 E St Johns Ave Austin, Texas",30.3345038,-97.7062435
335,"Parker And Woodward Austin, Texas",30.21961259999999,-97.7439471
336,"24Th And Rio Grande Austin, Texas",30.2879172,-97.7446605
337,"9442 Capital Of Texas Highway Austin, Texas",30.3899547,-97.7486304
338,"12804 Doorbell Dr Austin, Texas",30.3442106,-97.52795429999999
339,"Aly May Dr And Billbrook Austin, Texas",30.1662389,-97.8178025
340,"Montopolis And Riverside Austin, Texas",30.2248747,-97.7034758
341,"Waters Park Road And Adelphi Lane Austin, Texas",30.4178911,-97.7082281
342,"11700 Dionda Lane Austin, Texas",30.2050704,-97.6330947
343,"Pflugerville (TX) Austin, Texas",30.4548451,-97.6222665
344,"Staney And Burleson Austin, Texas",30.2055131,-97.7165557
345,"11846 Jollyville Rd Austin, Texas",30.4226856,-97.7568435
346,"710 East Ben White Boulevard Austin, Texas",30.2192082,-97.75524109999999
347,"1705 Frontier Valley Austin, Texas",30.2239681,-97.69564009999999
348,"10911 Thaxton  Rd Austin, Texas",30.11786409999999,-97.7450137
349,"3201 Duval Road Austin, Texas",30.40852959999999,-97.72078330000001
350,"8801 N Fm 620 Austin, Texas",30.4265362,-97.84091749999999
351,"8101 Salt Springs Dr Austin, Texas",30.1588551,-97.7450229
352,"12609 Dessau Rd Austin, Texas",30.39377409999999,-97.64128939999999
353,"2115 Quarry Rd Austin, Texas",30.2848309,-97.767456
354,"Airport And Bolm Austin, Texas",30.2600671,-97.6938717
355,"5104 Raton Pass Austin, Texas",30.3127192,-97.6590708
356,"Round Mountain Rd And Fulkes Rd Austin, Texas",30.5751976,-97.9484028
357,"1520 Rutherford Ln Austin, Texas",30.33725849999999,-97.6784661
358,"7530 Compass Austin, Texas",30.3088951,-97.64177869999999
